"LINESTRING( 86.611289978 22.807756424 , 86.6223373413 22.8028640747 )" : 0
"LINESTRING( 86.6223373413 22.8028640747 , 86.6294021606 22.8014183044 )" : 0
"LINESTRING( 86.6269836426 22.8248825073 , 86.6223373413 22.8028640747 )" : 0
"LINESTRING( 86.6318283081 22.7992248535 , 86.6294021606 22.8014183044 )" : 0
"LINESTRING( 86.6335678101 22.8115901947 , 86.6294021606 22.8014183044 )" : 0
"LINESTRING( 86.6335678101 22.8115901947 , 86.6351776123 22.8169174194 )" : 0
"LINESTRING( 86.6361923218 22.8200359344 , 86.6316299438 22.8249549866 )" : 0
"LINESTRING( 86.6361923218 22.8200359344 , 86.6351776123 22.8169174194 )" : 0
"LINESTRING( 86.6361923218 22.8200359344 , 86.6584243774 22.8325328827 )" : 0
"LINESTRING( 86.6366195679 22.7940921783 , 86.6318283081 22.7992248535 )" : 0
"LINESTRING( 86.6389083862 22.81483078 , 86.6351776123 22.8169174194 )" : 0
"LINESTRING( 86.6389083862 22.81483078 , 86.646987915 22.8105697632 )" : 0
"LINESTRING( 86.6428756714 22.7925872803 , 86.6335678101 22.8115901947 )" : 0
"LINESTRING( 86.6446685791 22.8055801392 , 86.646987915 22.8105697632 )" : 0
"LINESTRING( 86.6479415894 22.791721344 , 86.6557769775 22.8030376434 )" : 0
"LINESTRING( 86.6488571167 22.8146896362 , 86.646987915 22.8105697632 )" : 0
"LINESTRING( 86.6556091309 22.805557251 , 86.646987915 22.8105697632 )" : 0
"LINESTRING( 86.6556091309 22.805557251 , 86.6557769775 22.8030376434 )" : 0
"LINESTRING( 86.6556091309 22.805557251 , 86.6789703369 22.8159980774 )" : 0
"LINESTRING( 86.6584243774 22.8325328827 , 86.6478729248 22.8337631226 )" : 0
"LINESTRING( 86.6584243774 22.8325328827 , 86.69871521 22.8504161835 )" : 0
"LINESTRING( 86.6649093628 22.8249511719 , 86.6556091309 22.805557251 )" : 0
"LINESTRING( 86.6649093628 22.8249511719 , 86.6584243774 22.8325328827 )" : 0
"LINESTRING( 86.6649093628 22.8249511719 , 86.6789703369 22.8159980774 )" : 0
"LINESTRING( 86.6671600342 22.7774372101 , 86.6710891724 22.7796058655 )" : 0
"LINESTRING( 86.6710891724 22.7796058655 , 86.6557769775 22.8030376434 )" : 0
"LINESTRING( 86.6728973389 22.7694911957 , 86.6764450073 22.7791614532 )" : 0
"LINESTRING( 86.6742630005 22.7805767059 , 86.6710891724 22.7796058655 )" : 0
"LINESTRING( 86.6742630005 22.7805767059 , 86.6764450073 22.7791614532 )" : 0
"LINESTRING( 86.6742630005 22.7805767059 , 86.684753418 22.7901802063 )" : 0
"LINESTRING( 86.6748428345 22.8013706207 , 86.6836700439 22.7966976166 )" : 0
"LINESTRING( 86.6848526001 22.8138027191 , 86.6789703369 22.8159980774 )" : 0
"LINESTRING( 86.6848526001 22.8138027191 , 86.6965637207 22.8108463287 )" : 0
"LINESTRING( 86.6848526001 22.8138027191 , 86.7015228271 22.840593338 )" : 0
"LINESTRING( 86.6880722046 22.7939186096 , 86.6836700439 22.7966976166 )" : 0
"LINESTRING( 86.6880722046 22.7939186096 , 86.684753418 22.7901802063 )" : 0
"LINESTRING( 86.6898727417 22.7928924561 , 86.6880722046 22.7939186096 )" : 0
"LINESTRING( 86.6898727417 22.7928924561 , 86.6927947998 22.7919368744 )" : 0
"LINESTRING( 86.6898880005 22.7784633636 , 86.6764450073 22.7791614532 )" : 0
"LINESTRING( 86.6898880005 22.7784633636 , 86.684753418 22.7901802063 )" : 0
"LINESTRING( 86.6898880005 22.7784633636 , 86.70728302 22.7707633972 )" : 0
"LINESTRING( 86.6927947998 22.7919368744 , 86.713394165 22.7863998413 )" : 0
"LINESTRING( 86.6934509277 22.9314537048 , 86.7085494995 22.9222106934 )" : 0
"LINESTRING( 86.693611145 22.7697792053 , 86.6804275513 22.7667274475 )" : 0
"LINESTRING( 86.693611145 22.7697792053 , 86.6929321289 22.7661266327 )" : 0
"LINESTRING( 86.6942062378 22.8450393677 , 86.6963729858 22.8442935944 )" : 0
"LINESTRING( 86.6963729858 22.8442935944 , 86.7015228271 22.840593338 )" : 0
"LINESTRING( 86.6965637207 22.8108463287 , 86.6836700439 22.7966976166 )" : 0
"LINESTRING( 86.6970672607 22.9190979004 , 86.7085494995 22.9222106934 )" : 0
